Run dir: /Users/lukas/weird_objects/hexapod_walker/policies/walker_v5
Using cpu device
Logging to /Users/lukas/weird_objects/hexapod_walker/policies/walker_v5
Training 2000000 steps across 8 parallel envs ...
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 300      |
|    ep_rew_mean     | 338      |
| time/              |          |
|    fps             | 6263     |
|    iterations      | 1        |
|    time_elapsed    | 2        |
|    total_timesteps | 16384    |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 344         |
| time/                   |             |
|    fps                  | 5769        |
|    iterations           | 2           |
|    time_elapsed         | 5           |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.030092688 |
|    clip_fraction        | 0.355       |
|    clip_range           | 0.2         |
|    entropy_loss         | 5.07        |
|    explained_variance   | -0.29       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.211       |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0116     |
|    std                  | 0.183       |
|    value_loss           | 0.246       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 321         |
| time/                   |             |
|    fps                  | 5594        |
|    iterations           | 3           |
|    time_elapsed         | 8           |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.031622663 |
|    clip_fraction        | 0.354       |
|    clip_range           | 0.2         |
|    entropy_loss         | 5.09        |
|    explained_variance   | 0.366       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00797    |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.015      |
|    std                  | 0.182       |
|    value_loss           | 0.0258      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 322        |
| time/                   |            |
|    fps                  | 5506       |
|    iterations           | 4          |
|    time_elapsed         | 11         |
|    total_timesteps      | 65536      |
| train/                  |            |
|    approx_kl            | 0.03171376 |
|    clip_fraction        | 0.352      |
|    clip_range           | 0.2        |
|    entropy_loss         | 5.12       |
|    explained_variance   | 0.782      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0273    |
|    n_updates            | 30         |
|    policy_gradient_loss | -0.0143    |
|    std                  | 0.182      |
|    value_loss           | 0.0223     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 338         |
| time/                   |             |
|    fps                  | 5454        |
|    iterations           | 5           |
|    time_elapsed         | 15          |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.032767877 |
|    clip_fraction        | 0.362       |
|    clip_range           | 0.2         |
|    entropy_loss         | 5.12        |
|    explained_variance   | 0.869       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0277     |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0173     |
|    std                  | 0.182       |
|    value_loss           | 0.0194      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 350         |
| time/                   |             |
|    fps                  | 5503        |
|    iterations           | 6           |
|    time_elapsed         | 17          |
|    total_timesteps      | 98304       |
| train/                  |             |
|    approx_kl            | 0.035522014 |
|    clip_fraction        | 0.371       |
|    clip_range           | 0.2         |
|    entropy_loss         | 5.12        |
|    explained_variance   | 0.897       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0392     |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0174     |
|    std                  | 0.182       |
|    value_loss           | 0.0163      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 346         |
| time/                   |             |
|    fps                  | 5488        |
|    iterations           | 7           |
|    time_elapsed         | 20          |
|    total_timesteps      | 114688      |
| train/                  |             |
|    approx_kl            | 0.036115184 |
|    clip_fraction        | 0.375       |
|    clip_range           | 0.2         |
|    entropy_loss         | 5.15        |
|    explained_variance   | 0.933       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0062     |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0162     |
|    std                  | 0.182       |
|    value_loss           | 0.0134      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 328         |
| time/                   |             |
|    fps                  | 5485        |
|    iterations           | 8           |
|    time_elapsed         | 23          |
|    total_timesteps      | 131072      |
| train/                  |             |
|    approx_kl            | 0.036433816 |
|    clip_fraction        | 0.38        |
|    clip_range           | 0.2         |
|    entropy_loss         | 5.17        |
|    explained_variance   | 0.947       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0241     |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.018      |
|    std                  | 0.182       |
|    value_loss           | 0.0154      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 330        |
| time/                   |            |
|    fps                  | 5486       |
|    iterations           | 9          |
|    time_elapsed         | 26         |
|    total_timesteps      | 147456     |
| train/                  |            |
|    approx_kl            | 0.03524006 |
|    clip_fraction        | 0.391      |
|    clip_range           | 0.2        |
|    entropy_loss         | 5.16       |
|    explained_variance   | 0.948      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0152    |
|    n_updates            | 80         |
|    policy_gradient_loss | -0.0181    |
|    std                  | 0.182      |
|    value_loss           | 0.0133     |
----------------------------------------
----------------------------------------
| rollout/                |            |
