Run dir: /Users/lukas/weird_objects/hexapod_walker/policies/walker_v6
Using cpu device
Logging to /Users/lukas/weird_objects/hexapod_walker/policies/walker_v6
Training 5000000 steps across 8 parallel envs ...
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 300      |
|    ep_rew_mean     | 319      |
| time/              |          |
|    fps             | 5730     |
|    iterations      | 1        |
|    time_elapsed    | 2        |
|    total_timesteps | 16384    |
---------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 300       |
|    ep_rew_mean          | 312       |
| time/                   |           |
|    fps                  | 5133      |
|    iterations           | 2         |
|    time_elapsed         | 6         |
|    total_timesteps      | 32768     |
| train/                  |           |
|    approx_kl            | 0.0496663 |
|    clip_fraction        | 0.482     |
|    clip_range           | 0.2       |
|    entropy_loss         | 5.04      |
|    explained_variance   | -0.219    |
|    learning_rate        | 0.0003    |
|    loss                 | 0.13      |
|    n_updates            | 10        |
|    policy_gradient_loss | 0.000212  |
|    std                  | 0.183     |
|    value_loss           | 0.16      |
---------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 323        |
| time/                   |            |
|    fps                  | 4944       |
|    iterations           | 3          |
|    time_elapsed         | 9          |
|    total_timesteps      | 49152      |
| train/                  |            |
|    approx_kl            | 0.04974433 |
|    clip_fraction        | 0.467      |
|    clip_range           | 0.2        |
|    entropy_loss         | 5.03       |
|    explained_variance   | 0.627      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.00664    |
|    n_updates            | 20         |
|    policy_gradient_loss | -0.00112   |
|    std                  | 0.183      |
|    value_loss           | 0.022      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 313         |
| time/                   |             |
|    fps                  | 4889        |
|    iterations           | 4           |
|    time_elapsed         | 13          |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.048540175 |
|    clip_fraction        | 0.474       |
|    clip_range           | 0.2         |
|    entropy_loss         | 5.02        |
|    explained_variance   | 0.83        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.000304   |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.00299    |
|    std                  | 0.183       |
|    value_loss           | 0.0178      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 313         |
| time/                   |             |
|    fps                  | 4829        |
|    iterations           | 5           |
|    time_elapsed         | 16          |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.050721258 |
|    clip_fraction        | 0.47        |
|    clip_range           | 0.2         |
|    entropy_loss         | 5.01        |
|    explained_variance   | 0.901       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00102     |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.00295    |
|    std                  | 0.183       |
|    value_loss           | 0.0153      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 295         |
| time/                   |             |
|    fps                  | 4737        |
|    iterations           | 6           |
|    time_elapsed         | 20          |
|    total_timesteps      | 98304       |
| train/                  |             |
|    approx_kl            | 0.050068274 |
|    clip_fraction        | 0.473       |
|    clip_range           | 0.2         |
|    entropy_loss         | 5.02        |
|    explained_variance   | 0.928       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0065     |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.00527    |
|    std                  | 0.183       |
|    value_loss           | 0.015       |
-----------------------------------------
--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 300      |
|    ep_rew_mean          | 277      |
| time/                   |          |
|    fps                  | 4692     |
|    iterations           | 7        |
|    time_elapsed         | 24       |
|    total_timesteps      | 114688   |
| train/                  |          |
|    approx_kl            | 0.054526 |
|    clip_fraction        | 0.473    |
|    clip_range           | 0.2      |
|    entropy_loss         | 5.07     |
|    explained_variance   | 0.951    |
|    learning_rate        | 0.0003   |
|    loss                 | -0.0149  |
|    n_updates            | 60       |
|    policy_gradient_loss | -0.00385 |
|    std                  | 0.183    |
|    value_loss           | 0.0145   |
--------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 287        |
| time/                   |            |
|    fps                  | 4691       |
|    iterations           | 8          |
|    time_elapsed         | 27         |
|    total_timesteps      | 131072     |
| train/                  |            |
|    approx_kl            | 0.05176259 |
|    clip_fraction        | 0.47       |
|    clip_range           | 0.2        |
|    entropy_loss         | 5.09       |
|    explained_variance   | 0.956      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0187    |
|    n_updates            | 70         |
|    policy_gradient_loss | -0.00503   |
|    std                  | 0.182      |
|    value_loss           | 0.0142     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 305         |
| time/                   |             |
|    fps                  | 4693        |
|    iterations           | 9           |
|    time_elapsed         | 31          |
|    total_timesteps      | 147456      |
| train/                  |             |
|    approx_kl            | 0.051614016 |
|    clip_fraction        | 0.467       |
|    clip_range           | 0.2         |
|    entropy_loss         | 5.09        |
|    explained_variance   | 0.964       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00551    |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.00545    |
|    std                  | 0.182       |
|    value_loss           | 0.0113      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 304         |
| time/                   |             |
|    fps                  | 4697        |
|    iterations           | 10          |
|    time_elapsed         | 34          |
|    total_timesteps      | 163840      |
| train/                  |             |
|    approx_kl            | 0.060876228 |
|    clip_fraction        | 0.491       |
|    clip_range           | 0.2         |
|    entropy_loss         | 5.08        |
|    explained_variance   | 0.975       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0165     |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.00761    |
|    std                  | 0.183       |
|    value_loss           | 0.0113      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 287        |
| time/                   |            |
|    fps                  | 4698       |
|    iterations           | 11         |
|    time_elapsed         | 38         |
|    total_timesteps      | 180224     |
| train/                  |            |
|    approx_kl            | 0.05640427 |
|    clip_fraction        | 0.485      |
|    clip_range           | 0.2        |
|    entropy_loss         | 5.1        |
|    explained_variance   | 0.978      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.00917   |
|    n_updates            | 100        |
|    policy_gradient_loss | -0.00803   |
|    std                  | 0.182      |
|    value_loss           | 0.0109     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 285        |
| time/                   |            |
|    fps                  | 4702       |
|    iterations           | 12         |
|    time_elapsed         | 41         |
|    total_timesteps      | 196608     |
| train/                  |            |
|    approx_kl            | 0.05964329 |
|    clip_fraction        | 0.489      |
|    clip_range           | 0.2        |
|    entropy_loss         | 5.14       |
|    explained_variance   | 0.975      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.00999   |
|    n_updates            | 110        |
|    policy_gradient_loss | -0.00954   |
|    std                  | 0.182      |
|    value_loss           | 0.0114     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 304         |
| time/                   |             |
|    fps                  | 4708        |
|    iterations           | 13          |
|    time_elapsed         | 45          |
|    total_timesteps      | 212992      |
| train/                  |             |
|    approx_kl            | 0.055696577 |
|    clip_fraction        | 0.484       |
|    clip_range           | 0.2         |
|    entropy_loss         | 5.17        |
|    explained_variance   | 0.978       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00531    |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.00883    |
|    std                  | 0.182       |
|    value_loss           | 0.00978     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 291         |
| time/                   |             |
|    fps                  | 4710        |
|    iterations           | 14          |
|    time_elapsed         | 48          |
|    total_timesteps      | 229376      |
| train/                  |             |
|    approx_kl            | 0.058616966 |
|    clip_fraction        | 0.491       |
|    clip_range           | 0.2         |
|    entropy_loss         | 5.19        |
|    explained_variance   | 0.984       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0302     |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.00995    |
|    std                  | 0.181       |
|    value_loss           | 0.00904     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 283         |
| time/                   |             |
|    fps                  | 4712        |
|    iterations           | 15          |
|    time_elapsed         | 52          |
|    total_timesteps      | 245760      |
| train/                  |             |
|    approx_kl            | 0.059039697 |
|    clip_fraction        | 0.493       |
|    clip_range           | 0.2         |
|    entropy_loss         | 5.22        |
|    explained_variance   | 0.981       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00374    |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.00791    |
|    std                  | 0.181       |
|    value_loss           | 0.0106      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 310        |
| time/                   |            |
|    fps                  | 4718       |
|    iterations           | 16         |
|    time_elapsed         | 55         |
|    total_timesteps      | 262144     |
| train/                  |            |
|    approx_kl            | 0.06114243 |
|    clip_fraction        | 0.496      |
|    clip_range           | 0.2        |
|    entropy_loss         | 5.26       |
|    explained_variance   | 0.987      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0218    |
|    n_updates            | 150        |
|    policy_gradient_loss | -0.00958   |
|    std                  | 0.181      |
|    value_loss           | 0.00941    |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 304        |
| time/                   |            |
|    fps                  | 4723       |
|    iterations           | 17         |
|    time_elapsed         | 58         |
|    total_timesteps      | 278528     |
| train/                  |            |
|    approx_kl            | 0.05808351 |
|    clip_fraction        | 0.492      |
|    clip_range           | 0.2        |
|    entropy_loss         | 5.26       |
|    explained_variance   | 0.983      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.00504   |
|    n_updates            | 160        |
|    policy_gradient_loss | -0.00625   |
|    std                  | 0.181      |
|    value_loss           | 0.00784    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 310         |
| time/                   |             |
|    fps                  | 4728        |
|    iterations           | 18          |
|    time_elapsed         | 62          |
|    total_timesteps      | 294912      |
| train/                  |             |
|    approx_kl            | 0.060784884 |
|    clip_fraction        | 0.507       |
|    clip_range           | 0.2         |
|    entropy_loss         | 5.28        |
|    explained_variance   | 0.985       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00609    |
|    n_updates            | 170         |
|    policy_gradient_loss | -0.0108     |
|    std                  | 0.18        |
|    value_loss           | 0.00897     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 281         |
| time/                   |             |
|    fps                  | 4722        |
|    iterations           | 19          |
|    time_elapsed         | 65          |
|    total_timesteps      | 311296      |
| train/                  |             |
|    approx_kl            | 0.062028848 |
|    clip_fraction        | 0.489       |
|    clip_range           | 0.2         |
|    entropy_loss         | 5.3         |
|    explained_variance   | 0.986       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0246     |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.00978    |
|    std                  | 0.18        |
|    value_loss           | 0.00835     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 281        |
| time/                   |            |
|    fps                  | 4721       |
|    iterations           | 20         |
|    time_elapsed         | 69         |
|    total_timesteps      | 327680     |
| train/                  |            |
|    approx_kl            | 0.06643109 |
|    clip_fraction        | 0.514      |
|    clip_range           | 0.2        |
|    entropy_loss         | 5.29       |
|    explained_variance   | 0.982      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.00887   |
|    n_updates            | 190        |
|    policy_gradient_loss | -0.00749   |
|    std                  | 0.18       |
|    value_loss           | 0.0111     |
----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 300       |
|    ep_rew_mean          | 313       |
| time/                   |           |
|    fps                  | 4729      |
|    iterations           | 21        |
|    time_elapsed         | 72        |
|    total_timesteps      | 344064    |
| train/                  |           |
|    approx_kl            | 0.0679635 |
|    clip_fraction        | 0.512     |
|    clip_range           | 0.2       |
|    entropy_loss         | 5.28      |
|    explained_variance   | 0.987     |
|    learning_rate        | 0.0003    |
