Run dir: /Users/lukas/weird_objects/hexapod_walker/policies/walker_v1
Using cpu device
Logging to /Users/lukas/weird_objects/hexapod_walker/policies/walker_v1
Training 1000000 steps across 8 parallel envs ...
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 18.6     |
|    ep_rew_mean     | -1.78    |
| time/              |          |
|    fps             | 5661     |
|    iterations      | 1        |
|    time_elapsed    | 2        |
|    total_timesteps | 16384    |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 18.9        |
|    ep_rew_mean          | -1.1        |
| time/                   |             |
|    fps                  | 5216        |
|    iterations           | 2           |
|    time_elapsed         | 6           |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.015970115 |
|    clip_fraction        | 0.185       |
|    clip_range           | 0.2         |
|    entropy_loss         | -25.5       |
|    explained_variance   | -0.137      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.401       |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0248     |
|    std                  | 1           |
|    value_loss           | 0.985       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 18.9       |
|    ep_rew_mean          | -0.0213    |
| time/                   |            |
|    fps                  | 5091       |
|    iterations           | 3          |
|    time_elapsed         | 9          |
|    total_timesteps      | 49152      |
| train/                  |            |
|    approx_kl            | 0.01569266 |
|    clip_fraction        | 0.189      |
|    clip_range           | 0.2        |
|    entropy_loss         | -25.6      |
|    explained_variance   | 0.0899     |
|    learning_rate        | 0.0003     |
|    loss                 | 0.215      |
|    n_updates            | 20         |
|    policy_gradient_loss | -0.0263    |
|    std                  | 1          |
|    value_loss           | 0.912      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 20         |
|    ep_rew_mean          | 0.406      |
| time/                   |            |
|    fps                  | 5013       |
|    iterations           | 4          |
|    time_elapsed         | 13         |
|    total_timesteps      | 65536      |
| train/                  |            |
|    approx_kl            | 0.01599828 |
|    clip_fraction        | 0.197      |
|    clip_range           | 0.2        |
|    entropy_loss         | -25.6      |
|    explained_variance   | 0.0848     |
|    learning_rate        | 0.0003     |
|    loss                 | 0.137      |
|    n_updates            | 30         |
|    policy_gradient_loss | -0.0284    |
|    std                  | 1          |
|    value_loss           | 0.813      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 23.2        |
|    ep_rew_mean          | 0.246       |
| time/                   |             |
|    fps                  | 4943        |
|    iterations           | 5           |
|    time_elapsed         | 16          |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.016564101 |
|    clip_fraction        | 0.211       |
|    clip_range           | 0.2         |
|    entropy_loss         | -25.5       |
|    explained_variance   | 0.127       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.237       |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0306     |
|    std                  | 1           |
|    value_loss           | 0.799       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 22.8        |
|    ep_rew_mean          | 0.387       |
| time/                   |             |
|    fps                  | 4898        |
|    iterations           | 6           |
|    time_elapsed         | 20          |
|    total_timesteps      | 98304       |
| train/                  |             |
|    approx_kl            | 0.016635885 |
|    clip_fraction        | 0.209       |
|    clip_range           | 0.2         |
|    entropy_loss         | -25.5       |
|    explained_variance   | 0.12        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.158       |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0318     |
|    std                  | 0.998       |
|    value_loss           | 0.752       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 25          |
|    ep_rew_mean          | 0.742       |
| time/                   |             |
|    fps                  | 4860        |
|    iterations           | 7           |
|    time_elapsed         | 23          |
|    total_timesteps      | 114688      |
| train/                  |             |
|    approx_kl            | 0.016738031 |
|    clip_fraction        | 0.215       |
|    clip_range           | 0.2         |
|    entropy_loss         | -25.5       |
|    explained_variance   | 0.141       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.157       |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.033      |
|    std                  | 0.998       |
|    value_loss           | 0.693       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 28.4        |
|    ep_rew_mean          | 3.58        |
| time/                   |             |
|    fps                  | 4822        |
|    iterations           | 8           |
|    time_elapsed         | 27          |
|    total_timesteps      | 131072      |
| train/                  |             |
|    approx_kl            | 0.015528001 |
|    clip_fraction        | 0.209       |
|    clip_range           | 0.2         |
|    entropy_loss         | -25.5       |
|    explained_variance   | 0.135       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.129       |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0326     |
|    std                  | 0.997       |
|    value_loss           | 0.707       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 31.2       |
|    ep_rew_mean          | 2.96       |
| time/                   |            |
|    fps                  | 4786       |
|    iterations           | 9          |
|    time_elapsed         | 30         |
|    total_timesteps      | 147456     |
| train/                  |            |
|    approx_kl            | 0.01643126 |
|    clip_fraction        | 0.222      |
|    clip_range           | 0.2        |
|    entropy_loss         | -25.5      |
|    explained_variance   | 0.156      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.142      |
|    n_updates            | 80         |
|    policy_gradient_loss | -0.036     |
|    std                  | 0.996      |
|    value_loss           | 0.661      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
