Run dir: /Users/lukas/weird_objects/hexapod_walker/policies/walker_v3
Using cpu device
Logging to /Users/lukas/weird_objects/hexapod_walker/policies/walker_v3
Training 2500000 steps across 8 parallel envs ...
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 300      |
|    ep_rew_mean     | 441      |
| time/              |          |
|    fps             | 3508     |
|    iterations      | 1        |
|    time_elapsed    | 4        |
|    total_timesteps | 16384    |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 448         |
| time/                   |             |
|    fps                  | 3198        |
|    iterations           | 2           |
|    time_elapsed         | 10          |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.041893374 |
|    clip_fraction        | 0.437       |
|    clip_range           | 0.2         |
|    entropy_loss         | 1.47        |
|    explained_variance   | -0.476      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.267       |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.00736    |
|    std                  | 0.223       |
|    value_loss           | 0.272       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 442        |
| time/                   |            |
|    fps                  | 3033       |
|    iterations           | 3          |
|    time_elapsed         | 16         |
|    total_timesteps      | 49152      |
| train/                  |            |
|    approx_kl            | 0.03874714 |
|    clip_fraction        | 0.418      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.48       |
|    explained_variance   | 0.202      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.00786    |
|    n_updates            | 20         |
|    policy_gradient_loss | -0.00698   |
|    std                  | 0.223      |
|    value_loss           | 0.024      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 431         |
| time/                   |             |
|    fps                  | 3031        |
|    iterations           | 4           |
|    time_elapsed         | 21          |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.041893214 |
|    clip_fraction        | 0.434       |
|    clip_range           | 0.2         |
|    entropy_loss         | 1.49        |
|    explained_variance   | 0.781       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0243     |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.00872    |
|    std                  | 0.223       |
|    value_loss           | 0.0206      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 442        |
| time/                   |            |
|    fps                  | 3036       |
|    iterations           | 5          |
|    time_elapsed         | 26         |
|    total_timesteps      | 81920      |
| train/                  |            |
|    approx_kl            | 0.04401564 |
|    clip_fraction        | 0.434      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.49       |
|    explained_variance   | 0.858      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.000939   |
|    n_updates            | 40         |
|    policy_gradient_loss | -0.00891   |
|    std                  | 0.223      |
|    value_loss           | 0.0182     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 452         |
| time/                   |             |
|    fps                  | 3032        |
|    iterations           | 6           |
|    time_elapsed         | 32          |
|    total_timesteps      | 98304       |
| train/                  |             |
|    approx_kl            | 0.044533476 |
|    clip_fraction        | 0.45        |
|    clip_range           | 0.2         |
|    entropy_loss         | 1.51        |
|    explained_variance   | 0.891       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0201     |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0111     |
|    std                  | 0.222       |
|    value_loss           | 0.0154      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 448        |
| time/                   |            |
|    fps                  | 3038       |
|    iterations           | 7          |
|    time_elapsed         | 37         |
|    total_timesteps      | 114688     |
| train/                  |            |
|    approx_kl            | 0.04821811 |
|    clip_fraction        | 0.444      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.55       |
|    explained_variance   | 0.912      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0171    |
|    n_updates            | 60         |
|    policy_gradient_loss | -0.0118    |
|    std                  | 0.222      |
|    value_loss           | 0.0134     |
----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 300       |
|    ep_rew_mean          | 442       |
| time/                   |           |
|    fps                  | 3028      |
|    iterations           | 8         |
|    time_elapsed         | 43        |
|    total_timesteps      | 131072    |
| train/                  |           |
|    approx_kl            | 0.0473686 |
|    clip_fraction        | 0.457     |
|    clip_range           | 0.2       |
|    entropy_loss         | 1.56      |
|    explained_variance   | 0.934     |
|    learning_rate        | 0.0003    |
|    loss                 | -0.00131  |
|    n_updates            | 70        |
|    policy_gradient_loss | -0.0116   |
|    std                  | 0.222     |
|    value_loss           | 0.0114    |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 438         |
| time/                   |             |
|    fps                  | 3035        |
|    iterations           | 9           |
|    time_elapsed         | 48          |
|    total_timesteps      | 147456      |
| train/                  |             |
|    approx_kl            | 0.047329377 |
|    clip_fraction        | 0.457       |
|    clip_range           | 0.2         |
|    entropy_loss         | 1.57        |
|    explained_variance   | 0.932       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0382     |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0128     |
|    std                  | 0.222       |
|    value_loss           | 0.0102      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 449         |
| time/                   |             |
|    fps                  | 3034        |
|    iterations           | 10          |
|    time_elapsed         | 53          |
|    total_timesteps      | 163840      |
| train/                  |             |
|    approx_kl            | 0.047884643 |
|    clip_fraction        | 0.468       |
|    clip_range           | 0.2         |
|    entropy_loss         | 1.61        |
|    explained_variance   | 0.955       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0257     |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.0137     |
|    std                  | 0.221       |
|    value_loss           | 0.00944     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 445         |
| time/                   |             |
|    fps                  | 3039        |
|    iterations           | 11          |
|    time_elapsed         | 59          |
|    total_timesteps      | 180224      |
| train/                  |             |
|    approx_kl            | 0.047686514 |
|    clip_fraction        | 0.47        |
|    clip_range           | 0.2         |
|    entropy_loss         | 1.66        |
|    explained_variance   | 0.965       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0218     |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.0152     |
|    std                  | 0.221       |
|    value_loss           | 0.00772     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 444         |
| time/                   |             |
|    fps                  | 3032        |
|    iterations           | 12          |
|    time_elapsed         | 64          |
|    total_timesteps      | 196608      |
| train/                  |             |
|    approx_kl            | 0.051267117 |
|    clip_fraction        | 0.467       |
|    clip_range           | 0.2         |
|    entropy_loss         | 1.69        |
|    explained_variance   | 0.96        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0256     |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.0132     |
|    std                  | 0.22        |
|    value_loss           | 0.00755     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 455         |
| time/                   |             |
|    fps                  | 3038        |
|    iterations           | 13          |
|    time_elapsed         | 70          |
|    total_timesteps      | 212992      |
| train/                  |             |
|    approx_kl            | 0.055736378 |
|    clip_fraction        | 0.473       |
|    clip_range           | 0.2         |
|    entropy_loss         | 1.7         |
|    explained_variance   | 0.978       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0272     |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.016      |
|    std                  | 0.22        |
|    value_loss           | 0.00706     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 461         |
| time/                   |             |
|    fps                  | 3026        |
|    iterations           | 14          |
|    time_elapsed         | 75          |
|    total_timesteps      | 229376      |
| train/                  |             |
|    approx_kl            | 0.047965273 |
|    clip_fraction        | 0.466       |
|    clip_range           | 0.2         |
|    entropy_loss         | 1.72        |
|    explained_variance   | 0.976       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0335     |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.0145     |
|    std                  | 0.22        |
|    value_loss           | 0.00563     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 440         |
| time/                   |             |
|    fps                  | 2984        |
|    iterations           | 15          |
|    time_elapsed         | 82          |
|    total_timesteps      | 245760      |
| train/                  |             |
|    approx_kl            | 0.055927373 |
|    clip_fraction        | 0.474       |
|    clip_range           | 0.2         |
|    entropy_loss         | 1.74        |
|    explained_variance   | 0.978       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0259     |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.014      |
|    std                  | 0.22        |
|    value_loss           | 0.00688     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 470        |
| time/                   |            |
|    fps                  | 2998       |
|    iterations           | 16         |
|    time_elapsed         | 87         |
